"article_name","year","yrwk_start","yrwk_end","month","week","sales","category_1","category_2","promo_01","promo_02","promo_03","promo_04","promo_05"
"1","BIO JOGHURT NATURE 180G",2016,"2016-01-04","2016-01-10",1,1,7402,"BIO / ALNATURA","KLASSISCHE JOGHURT",0,0,0,0,0
"2","BIO JOGHURT NATURE 180G",2016,"2016-01-11","2016-01-17",1,2,6781,"BIO / ALNATURA","KLASSISCHE JOGHURT",0,0,0,0,0
"3","BIO JOGHURT NATURE 180G",2016,"2016-01-18","2016-01-24",1,3,6613,"BIO / ALNATURA","KLASSISCHE JOGHURT",0,0,0,0,0
"4","BIO JOGHURT NATURE 180G",2016,"2016-01-25","2016-01-31",1,4,6587,"BIO / ALNATURA","KLASSISCHE JOGHURT",0,0,0,0,0
"5","BIO JOGHURT NATURE 180G",2016,"2016-02-01","2016-02-07",2,5,6386,"BIO / ALNATURA","KLASSISCHE JOGHURT",0,0,0,0,0
"6","BIO JOGHURT NATURE 180G",2016,"2016-02-08","2016-02-14",2,6,6458,"BIO / ALNATURA","KLASSISCHE JOGHURT",0,0,0,0,0
"7","BIO JOGHURT NATURE 180G",2016,"2016-02-15","2016-02-21",2,7,9552,"BIO / ALNATURA","KLASSISCHE JOGHURT",1,0,0,0,0
"8","BIO JOGHURT NATURE 180G",2016,"2016-02-22","2016-02-28",2,8,7138,"BIO / ALNATURA","KLASSISCHE JOGHURT",1,0,0,0,0
"9","BIO JOGHURT NATURE 180G",2016,"2016-02-29","2016-03-06",3,9,6719,"BIO / ALNATURA","KLASSISCHE JOGHURT",0,0,0,0,0
"10","BIO JOGHURT NATURE 180G",2016,"2016-03-07","2016-03-13",3,10,6757,"BIO / ALNATURA","KLASSISCHE JOGHURT",0,0,0,0,0
"11","BIO JOGHURT NATURE 180G",2016,"2016-03-14","2016-03-20",3,11,6697,"BIO / ALNATURA","KLASSISCHE JOGHURT",0,0,0,0,0
"12","BIO JOGHURT NATURE 180G",2016,"2016-03-21","2016-03-27",3,12,6747,"BIO / ALNATURA","KLASSISCHE JOGHURT",0,0,0,0,0
"13","BIO JOGHURT NATURE 180G",2016,"2016-03-28","2016-04-03",3,13,5893,"BIO / ALNATURA","KLASSISCHE JOGHURT",0,0,0,0,0
"14","BIO JOGHURT NATURE 180G",2016,"2016-04-04","2016-04-10",4,14,9136,"BIO / ALNATURA","KLASSISCHE JOGHURT",1,0,0,0,0
"15","BIO JOGHURT NATURE 180G",2016,"2016-04-11","2016-04-17",4,15,6920,"BIO / ALNATURA","KLASSISCHE JOGHURT",1,0,1,0,0
"16","BIO JOGHURT NATURE 180G",2016,"2016-04-18","2016-04-24",4,16,6647,"BIO / ALNATURA","KLASSISCHE JOGHURT",0,0,0,0,0
"17","BIO JOGHURT NATURE 180G",2016,"2016-04-25","2016-05-01",4,17,6637,"BIO / ALNATURA","KLASSISCHE JOGHURT",1,0,1,0,0
"18","BIO JOGHURT NATURE 180G",2016,"2016-05-02","2016-05-08",5,18,6494,"BIO / ALNATURA","KLASSISCHE JOGHURT",0,0,0,0,0
"19","BIO JOGHURT NATURE 180G",2016,"2016-05-09","2016-05-15",5,19,10503,"BIO / ALNATURA","KLASSISCHE JOGHURT",1,0,0,0,0
"20","BIO JOGHURT NATURE 180G",2016,"2016-05-16","2016-05-22",5,20,6239,"BIO / ALNATURA","KLASSISCHE JOGHURT",0,0,0,0,0
"21","BIO JOGHURT NATURE 180G",2016,"2016-05-23","2016-05-29",5,21,6645,"BIO / ALNATURA","KLASSISCHE JOGHURT",0,0,0,0,0
"22","BIO JOGHURT NATURE 180G",2016,"2016-05-30","2016-06-05",6,22,7458,"BIO / ALNATURA","KLASSISCHE JOGHURT",0,0,0,0,0
"23","BIO JOGHURT NATURE 180G",2016,"2016-06-06","2016-06-12",6,23,7179,"BIO / ALNATURA","KLASSISCHE JOGHURT",0,0,0,0,0
"24","BIO JOGHURT NATURE 180G",2016,"2016-06-13","2016-06-19",6,24,7273,"BIO / ALNATURA","KLASSISCHE JOGHURT",0,0,1,0,0
"25","BIO JOGHURT NATURE 180G",2016,"2016-06-20","2016-06-26",6,25,8845,"BIO / ALNATURA","KLASSISCHE JOGHURT",1,0,1,0,0
"26","BIO JOGHURT NATURE 180G",2016,"2016-06-27","2016-07-03",6,26,7095,"BIO / ALNATURA","KLASSISCHE JOGHURT",0,0,0,0,0
"27","BIO JOGHURT NATURE 180G",2016,"2016-07-04","2016-07-10",7,27,6454,"BIO / ALNATURA","KLASSISCHE JOGHURT",0,0,0,0,0
"28","BIO JOGHURT NATURE 180G",2016,"2016-07-11","2016-07-17",7,28,6052,"BIO / ALNATURA","KLASSISCHE JOGHURT",0,0,0,0,0
"29","BIO JOGHURT NATURE 180G",2016,"2016-07-18","2016-07-24",7,29,6055,"BIO / ALNATURA","KLASSISCHE JOGHURT",0,0,0,0,0
"30","BIO JOGHURT NATURE 180G",2016,"2016-07-25","2016-07-31",7,30,6025,"BIO / ALNATURA","KLASSISCHE JOGHURT",0,0,0,0,0
"31","BIO JOGHURT NATURE 180G",2016,"2016-08-01","2016-08-07",8,31,5920,"BIO / ALNATURA","KLASSISCHE JOGHURT",0,0,0,0,0
"32","BIO JOGHURT NATURE 180G",2016,"2016-08-08","2016-08-14",8,32,6593,"BIO / ALNATURA","KLASSISCHE JOGHURT",0,0,0,0,0
"33","BIO JOGHURT NATURE 180G",2016,"2016-08-15","2016-08-21",8,33,6639,"BIO / ALNATURA","KLASSISCHE JOGHURT",0,0,0,0,0
"34","BIO JOGHURT NATURE 180G",2016,"2016-08-22","2016-08-28",8,34,6593,"BIO / ALNATURA","KLASSISCHE JOGHURT",1,0,0,0,0
"35","BIO JOGHURT NATURE 180G",2016,"2016-08-29","2016-09-04",9,35,6722,"BIO / ALNATURA","KLASSISCHE JOGHURT",1,0,0,0,0
"36","BIO JOGHURT NATURE 180G",2016,"2016-09-05","2016-09-11",9,36,6474,"BIO / ALNATURA","KLASSISCHE JOGHURT",0,0,0,0,0
"37","BIO JOGHURT NATURE 180G",2016,"2016-09-12","2016-09-18",9,37,6365,"BIO / ALNATURA","KLASSISCHE JOGHURT",0,0,0,0,0
"38","BIO JOGHURT NATURE 180G",2016,"2016-09-19","2016-09-25",9,38,6405,"BIO / ALNATURA","KLASSISCHE JOGHURT",0,0,0,0,0
"39","BIO JOGHURT NATURE 180G",2016,"2016-09-26","2016-10-02",9,39,6244,"BIO / ALNATURA","KLASSISCHE JOGHURT",0,0,0,0,0
"40","BIO JOGHURT NATURE 180G",2016,"2016-10-03","2016-10-09",10,40,5713,"BIO / ALNATURA","KLASSISCHE JOGHURT",0,0,0,0,0
"41","BIO JOGHURT NATURE 180G",2016,"2016-10-10","2016-10-16",10,41,6911,"BIO / ALNATURA","KLASSISCHE JOGHURT",1,0,1,0,0
"42","BIO JOGHURT NATURE 180G",2016,"2016-10-17","2016-10-23",10,42,6275,"BIO / ALNATURA","KLASSISCHE JOGHURT",1,0,1,0,0
"43","BIO JOGHURT NATURE 180G",2016,"2016-10-24","2016-10-30",10,43,6466,"BIO / ALNATURA","KLASSISCHE JOGHURT",1,0,0,0,0
"44","BIO JOGHURT NATURE 180G",2016,"2016-10-31","2016-11-06",11,44,6154,"BIO / ALNATURA","KLASSISCHE JOGHURT",1,0,0,0,0
"45","BIO JOGHURT NATURE 180G",2016,"2016-11-07","2016-11-13",11,45,7591,"BIO / ALNATURA","KLASSISCHE JOGHURT",1,0,0,0,0
"46","BIO JOGHURT NATURE 180G",2016,"2016-11-14","2016-11-20",11,46,6487,"BIO / ALNATURA","KLASSISCHE JOGHURT",1,0,0,0,0
"47","BIO JOGHURT NATURE 180G",2016,"2016-11-21","2016-11-27",11,47,6156,"BIO / ALNATURA","KLASSISCHE JOGHURT",1,0,1,0,0
"48","BIO JOGHURT NATURE 180G",2016,"2016-11-28","2016-12-04",12,48,6101,"BIO / ALNATURA","KLASSISCHE JOGHURT",0,0,1,0,0
"49","BIO JOGHURT NATURE 180G",2016,"2016-12-05","2016-12-11",12,49,5604,"BIO / ALNATURA","KLASSISCHE JOGHURT",1,0,1,0,0
"50","BIO JOGHURT NATURE 180G",2016,"2016-12-12","2016-12-18",12,50,6185,"BIO / ALNATURA","KLASSISCHE JOGHURT",0,0,0,0,0
"51","BIO JOGHURT NATURE 180G",2016,"2016-12-19","2016-12-25",12,51,7239,"BIO / ALNATURA","KLASSISCHE JOGHURT",1,0,0,0,0
"52","BIO JOGHURT NATURE 180G",2016,"2016-12-26","2017-01-01",12,52,4722,"BIO / ALNATURA","KLASSISCHE JOGHURT",0,0,0,0,0
"53","BIO JOGHURT NATURE 180G",2017,"2017-01-02","2017-01-08",1,1,6165,"BIO / ALNATURA","KLASSISCHE JOGHURT",1,0,0,0,0
"54","BIO JOGHURT NATURE 180G",2017,"2017-01-09","2017-01-15",1,2,6958,"BIO / ALNATURA","KLASSISCHE JOGHURT",0,0,0,0,0
"55","BIO JOGHURT NATURE 180G",2017,"2017-01-16","2017-01-22",1,3,6716,"BIO / ALNATURA","KLASSISCHE JOGHURT",0,0,0,0,0
"56","BIO JOGHURT NATURE 180G",2017,"2017-01-23","2017-01-29",1,4,6726,"BIO / ALNATURA","KLASSISCHE JOGHURT",0,0,0,0,0
"57","BIO JOGHURT NATURE 180G",2017,"2017-01-30","2017-02-05",2,5,6586,"BIO / ALNATURA","KLASSISCHE JOGHURT",0,0,0,0,0
"58","BIO JOGHURT NATURE 180G",2017,"2017-02-06","2017-02-12",2,6,6433,"BIO / ALNATURA","KLASSISCHE JOGHURT",0,0,0,0,0
"59","BIO JOGHURT NATURE 180G",2017,"2017-02-13","2017-02-19",2,7,9081,"BIO / ALNATURA","KLASSISCHE JOGHURT",1,0,1,0,0
"60","BIO JOGHURT NATURE 180G",2017,"2017-02-20","2017-02-26",2,8,6413,"BIO / ALNATURA","KLASSISCHE JOGHURT",0,0,0,0,0
"61","BIO JOGHURT NATURE 180G",2017,"2017-02-27","2017-03-05",3,9,6878,"BIO / ALNATURA","KLASSISCHE JOGHURT",0,0,0,0,0
"62","BIO JOGHURT NATURE 180G",2017,"2017-03-06","2017-03-12",3,10,6953,"BIO / ALNATURA","KLASSISCHE JOGHURT",0,0,0,0,0
"63","BIO JOGHURT NATURE 180G",2017,"2017-03-13","2017-03-19",3,11,7231,"BIO / ALNATURA","KLASSISCHE JOGHURT",0,0,0,0,0
"64","BIO JOGHURT NATURE 180G",2017,"2017-03-20","2017-03-26",3,12,7479,"BIO / ALNATURA","KLASSISCHE JOGHURT",1,0,0,0,0
"65","BIO JOGHURT NATURE 180G",2017,"2017-03-27","2017-04-02",3,13,8830,"BIO / ALNATURA","KLASSISCHE JOGHURT",1,0,0,0,0
"66","BIO JOGHURT NATURE 180G",2017,"2017-04-03","2017-04-09",4,14,7223,"BIO / ALNATURA","KLASSISCHE JOGHURT",1,0,0,0,1
"67","BIO JOGHURT NATURE 180G",2017,"2017-04-10","2017-04-16",4,15,6986,"BIO / ALNATURA","KLASSISCHE JOGHURT",0,0,1,0,1
"68","BIO JOGHURT NATURE 180G",2017,"2017-04-17","2017-04-23",4,16,5836,"BIO / ALNATURA","KLASSISCHE JOGHURT",0,0,0,0,0
"69","BIO JOGHURT NATURE 180G",2017,"2017-04-24","2017-04-30",4,17,7128,"BIO / ALNATURA","KLASSISCHE JOGHURT",0,0,0,0,0
"70","BIO JOGHURT NATURE 180G",2017,"2017-05-01","2017-05-07",5,18,9575,"BIO / ALNATURA","KLASSISCHE JOGHURT",1,0,0,0,0
"71","BIO JOGHURT NATURE 180G",2017,"2017-05-08","2017-05-14",5,19,7390,"BIO / ALNATURA","KLASSISCHE JOGHURT",0,0,0,0,0
"72","BIO JOGHURT NATURE 180G",2017,"2017-05-15","2017-05-21",5,20,7237,"BIO / ALNATURA","KLASSISCHE JOGHURT",0,0,0,0,0
"73","BIO JOGHURT NATURE 180G",2017,"2017-05-22","2017-05-28",5,21,6630,"BIO / ALNATURA","KLASSISCHE JOGHURT",0,0,0,0,0
"74","BIO JOGHURT NATURE 180G",2017,"2017-05-29","2017-06-04",6,22,8275,"BIO / ALNATURA","KLASSISCHE JOGHURT",0,0,0,0,0
"75","BIO JOGHURT NATURE 180G",2017,"2017-06-05","2017-06-11",6,23,8900,"BIO / ALNATURA","KLASSISCHE JOGHURT",1,0,0,0,0
"76","BIO JOGHURT NATURE 180G",2017,"2017-06-12","2017-06-18",6,24,6756,"BIO / ALNATURA","KLASSISCHE JOGHURT",0,0,0,0,0
"77","BIO JOGHURT NATURE 180G",2017,"2017-06-19","2017-06-25",6,25,7564,"BIO / ALNATURA","KLASSISCHE JOGHURT",1,0,0,0,0
"78","BIO JOGHURT NATURE 180G",2017,"2017-06-26","2017-07-02",6,26,6908,"BIO / ALNATURA","KLASSISCHE JOGHURT",0,0,0,0,0
"79","BIO JOGHURT NATURE 180G",2017,"2017-07-03","2017-07-09",7,27,6908,"BIO / ALNATURA","KLASSISCHE JOGHURT",0,0,0,0,0
"80","BIO JOGHURT NATURE 180G",2017,"2017-07-10","2017-07-16",7,28,6243,"BIO / ALNATURA","KLASSISCHE JOGHURT",0,0,0,0,0
"81","BIO JOGHURT NATURE 180G",2017,"2017-07-17","2017-07-23",7,29,6271,"BIO / ALNATURA","KLASSISCHE JOGHURT",0,0,0,0,0
"82","BIO JOGHURT NATURE 180G",2017,"2017-07-24","2017-07-30",7,30,5938,"BIO / ALNATURA","KLASSISCHE JOGHURT",0,0,0,0,0
"83","BIO JOGHURT NATURE 180G",2017,"2017-07-31","2017-08-06",8,31,6311,"BIO / ALNATURA","KLASSISCHE JOGHURT",0,0,0,0,0
"84","BIO JOGHURT NATURE 180G",2017,"2017-08-07","2017-08-13",8,32,8522,"BIO / ALNATURA","KLASSISCHE JOGHURT",1,0,0,0,0
"85","BIO JOGHURT NATURE 180G",2017,"2017-08-14","2017-08-20",8,33,7235,"BIO / ALNATURA","KLASSISCHE JOGHURT",0,0,0,0,0
"86","BIO JOGHURT NATURE 180G",2017,"2017-08-21","2017-08-27",8,34,6961,"BIO / ALNATURA","KLASSISCHE JOGHURT",0,0,0,0,0
"87","BIO JOGHURT NATURE 180G",2017,"2017-08-28","2017-09-03",8,35,6968,"BIO / ALNATURA","KLASSISCHE JOGHURT",0,0,0,0,0
"88","BIO JOGHURT NATURE 180G",2017,"2017-09-04","2017-09-10",9,36,6486,"BIO / ALNATURA","KLASSISCHE JOGHURT",1,0,0,0,0
"89","BIO JOGHURT NATURE 180G",2017,"2017-09-11","2017-09-17",9,37,6609,"BIO / ALNATURA","KLASSISCHE JOGHURT",0,0,0,0,0
"90","BIO JOGHURT NATURE 180G",2017,"2017-09-18","2017-09-24",9,38,5256,"BIO / ALNATURA","KLASSISCHE JOGHURT",0,0,0,0,0
"91","BIO JOGHURT NATURE 180G",2017,"2017-09-25","2017-10-01",9,39,5309,"BIO / ALNATURA","KLASSISCHE JOGHURT",0,0,0,0,0
"92","BIO JOGHURT NATURE 180G",2017,"2017-10-02","2017-10-08",10,40,5291,"BIO / ALNATURA","KLASSISCHE JOGHURT",1,0,0,0,0
"93","BIO JOGHURT NATURE 180G",2017,"2017-10-09","2017-10-15",10,41,5823,"BIO / ALNATURA","KLASSISCHE JOGHURT",0,0,0,0,0
"94","BIO JOGHURT NATURE 180G",2017,"2017-10-16","2017-10-22",10,42,6947,"BIO / ALNATURA","KLASSISCHE JOGHURT",1,0,0,0,0
"95","BIO JOGHURT NATURE 180G",2017,"2017-10-23","2017-10-29",10,43,8818,"BIO / ALNATURA","KLASSISCHE JOGHURT",1,0,0,0,0
"96","BIO JOGHURT NATURE 180G",2017,"2017-10-30","2017-11-05",11,44,6768,"BIO / ALNATURA","KLASSISCHE JOGHURT",0,0,0,0,0
"97","BIO JOGHURT NATURE 180G",2017,"2017-11-06","2017-11-12",11,45,6890,"BIO / ALNATURA","KLASSISCHE JOGHURT",1,0,0,0,0
"98","BIO JOGHURT NATURE 180G",2017,"2017-11-13","2017-11-19",11,46,6847,"BIO / ALNATURA","KLASSISCHE JOGHURT",1,0,0,0,0
"99","BIO JOGHURT NATURE 180G",2017,"2017-11-20","2017-11-26",11,47,7000,"BIO / ALNATURA","KLASSISCHE JOGHURT",0,0,0,0,0
"100","BIO JOGHURT NATURE 180G",2017,"2017-11-27","2017-12-03",11,48,6784,"BIO / ALNATURA","KLASSISCHE JOGHURT",0,0,0,0,0
"101","BIO JOGHURT NATURE 180G",2017,"2017-12-04","2017-12-10",12,49,5639,"BIO / ALNATURA","KLASSISCHE JOGHURT",0,0,0,0,0
"102","BIO JOGHURT NATURE 180G",2017,"2017-12-11","2017-12-17",12,50,6378,"BIO / ALNATURA","KLASSISCHE JOGHURT",0,0,0,0,0
"103","BIO JOGHURT NATURE 180G",2017,"2017-12-18","2017-12-24",12,51,8263,"BIO / ALNATURA","KLASSISCHE JOGHURT",1,0,1,0,0
"104","BIO JOGHURT NATURE 180G",2017,"2017-12-25","2017-12-31",12,52,4744,"BIO / ALNATURA","KLASSISCHE JOGHURT",1,0,0,0,0
"105","BIO JOGHURT NATURE 180G",2018,"2018-01-01","2018-01-07",1,1,6205,"BIO / ALNATURA","KLASSISCHE JOGHURT",0,0,0,0,0
"106","BIO JOGHURT NATURE 180G",2018,"2018-01-08","2018-01-14",1,2,7514,"BIO / ALNATURA","KLASSISCHE JOGHURT",0,0,0,0,0
"107","BIO JOGHURT NATURE 180G",2018,"2018-01-15","2018-01-21",1,3,7194,"BIO / ALNATURA","KLASSISCHE JOGHURT",0,0,0,0,0
"108","BIO JOGHURT NATURE 180G",2018,"2018-01-22","2018-01-28",1,4,7090,"BIO / ALNATURA","KLASSISCHE JOGHURT",0,0,0,0,0
"109","BIO JOGHURT NATURE 180G",2018,"2018-01-29","2018-02-04",2,5,6786,"BIO / ALNATURA","KLASSISCHE JOGHURT",0,0,0,0,0
"110","BIO JOGHURT NATURE 180G",2018,"2018-02-05","2018-02-11",2,6,7935,"BIO / ALNATURA","KLASSISCHE JOGHURT",1,0,0,0,0
"111","BIO JOGHURT NATURE 180G",2018,"2018-02-12","2018-02-18",2,7,6657,"BIO / ALNATURA","KLASSISCHE JOGHURT",0,0,0,0,0
"112","BIO JOGHURT NATURE 180G",2018,"2018-02-19","2018-02-25",2,8,7040,"BIO / ALNATURA","KLASSISCHE JOGHURT",0,0,0,0,0
"113","BIO JOGHURT NATURE 180G",2018,"2018-02-26","2018-03-04",3,9,7149,"BIO / ALNATURA","KLASSISCHE JOGHURT",0,0,0,0,0
"114","BIO JOGHURT NATURE 180G",2018,"2018-03-05","2018-03-11",3,10,7115,"BIO / ALNATURA","KLASSISCHE JOGHURT",0,0,0,0,0
"115","BIO JOGHURT NATURE 180G",2018,"2018-03-12","2018-03-18",3,11,7238,"BIO / ALNATURA","KLASSISCHE JOGHURT",0,0,0,0,0
"116","BIO JOGHURT NATURE 180G",2018,"2018-03-19","2018-03-25",3,12,7038,"BIO / ALNATURA","KLASSISCHE JOGHURT",1,0,0,0,0
"117","BIO JOGHURT NATURE 180G",2018,"2018-03-26","2018-04-01",3,13,7074,"BIO / ALNATURA","KLASSISCHE JOGHURT",0,0,0,0,0
"118","BIO JOGHURT NATURE 180G",2018,"2018-04-02","2018-04-08",4,14,8181,"BIO / ALNATURA","KLASSISCHE JOGHURT",1,0,0,0,0
"119","BIO JOGHURT NATURE 180G",2018,"2018-04-09","2018-04-15",4,15,7488,"BIO / ALNATURA","KLASSISCHE JOGHURT",0,0,0,0,0
"120","BIO JOGHURT NATURE 180G",2018,"2018-04-16","2018-04-22",4,16,7325,"BIO / ALNATURA","KLASSISCHE JOGHURT",0,0,0,0,0
"121","BIO JOGHURT NATURE 180G",2018,"2018-04-23","2018-04-29",4,17,7508,"BIO / ALNATURA","KLASSISCHE JOGHURT",0,0,0,0,0
"122","BIO JOGHURT NATURE 180G",2018,"2018-04-30","2018-05-06",5,18,7355,"BIO / ALNATURA","KLASSISCHE JOGHURT",0,0,0,0,0
"123","BIO JOGHURT NATURE 180G",2018,"2018-05-07","2018-05-13",5,19,7698,"BIO / ALNATURA","KLASSISCHE JOGHURT",0,0,1,0,0
"124","BIO JOGHURT NATURE 180G",2018,"2018-05-14","2018-05-20",5,20,7443,"BIO / ALNATURA","KLASSISCHE JOGHURT",0,0,0,0,0
"125","BIO JOGHURT NATURE 180G",2018,"2018-05-21","2018-05-27",5,21,6985,"BIO / ALNATURA","KLASSISCHE JOGHURT",0,0,0,0,0
"126","BIO JOGHURT NATURE 180G",2018,"2018-05-28","2018-06-03",5,22,8333,"BIO / ALNATURA","KLASSISCHE JOGHURT",1,0,0,0,0
"127","BIO JOGHURT NATURE 180G",2018,"2018-06-04","2018-06-10",6,23,7270,"BIO / ALNATURA","KLASSISCHE JOGHURT",1,0,0,0,0
"128","BIO JOGHURT NATURE 180G",2018,"2018-06-11","2018-06-17",6,24,6989,"BIO / ALNATURA","KLASSISCHE JOGHURT",0,0,0,0,0
"129","BIO JOGHURT NATURE 180G",2018,"2018-06-18","2018-06-24",6,25,6913,"BIO / ALNATURA","KLASSISCHE JOGHURT",1,0,0,0,0
"130","BIO JOGHURT NATURE 180G",2018,"2018-06-25","2018-07-01",6,26,7013,"BIO / ALNATURA","KLASSISCHE JOGHURT",1,0,0,0,0
"131","BIO JOGHURT NATURE 180G",2018,"2018-07-02","2018-07-08",7,27,6658,"BIO / ALNATURA","KLASSISCHE JOGHURT",0,0,0,0,0
"132","BIO JOGHURT NATURE 180G",2018,"2018-07-09","2018-07-15",7,28,7942,"BIO / ALNATURA","KLASSISCHE JOGHURT",1,0,0,0,0
"133","BIO JOGHURT NATURE 180G",2018,"2018-07-16","2018-07-22",7,29,5986,"BIO / ALNATURA","KLASSISCHE JOGHURT",0,0,0,0,0
"134","BIO JOGHURT NATURE 180G",2018,"2018-07-23","2018-07-29",7,30,6246,"BIO / ALNATURA","KLASSISCHE JOGHURT",0,0,0,0,0
"135","BIO JOGHURT NATURE 180G",2018,"2018-07-30","2018-08-05",8,31,6289,"BIO / ALNATURA","KLASSISCHE JOGHURT",0,0,0,0,0
"136","BIO JOGHURT NATURE 180G",2018,"2018-08-06","2018-08-12",8,32,6751,"BIO / ALNATURA","KLASSISCHE JOGHURT",0,0,0,0,0
"137","BIO JOGHURT NATURE 180G",2018,"2018-08-13","2018-08-19",8,33,6736,"BIO / ALNATURA","KLASSISCHE JOGHURT",0,0,0,0,0
"138","BIO JOGHURT NATURE 180G",2018,"2018-08-20","2018-08-26",8,34,6973,"BIO / ALNATURA","KLASSISCHE JOGHURT",0,0,0,0,0
"139","BIO JOGHURT NATURE 180G",2018,"2018-08-27","2018-09-02",8,35,8310,"BIO / ALNATURA","KLASSISCHE JOGHURT",1,0,0,0,0
"140","BIO JOGHURT NATURE 180G",2018,"2018-09-03","2018-09-09",9,36,6011,"BIO / ALNATURA","KLASSISCHE JOGHURT",0,0,0,0,0
"141","BIO JOGHURT NATURE 180G",2018,"2018-09-10","2018-09-16",9,37,6382,"BIO / ALNATURA","KLASSISCHE JOGHURT",0,0,0,0,0
"142","BIO JOGHURT NATURE 180G",2018,"2018-09-17","2018-09-23",9,38,6344,"BIO / ALNATURA","KLASSISCHE JOGHURT",0,0,0,0,0
"143","BIO JOGHURT NATURE 180G",2018,"2018-09-24","2018-09-30",9,39,6307,"BIO / ALNATURA","KLASSISCHE JOGHURT",0,0,0,0,0
"144","BIO JOGHURT NATURE 180G",2018,"2018-10-01","2018-10-07",10,40,6034,"BIO / ALNATURA","KLASSISCHE JOGHURT",0,0,0,0,0
"145","BIO JOGHURT NATURE 180G",2018,"2018-10-08","2018-10-14",10,41,7548,"BIO / ALNATURA","KLASSISCHE JOGHURT",1,0,0,0,0
"146","BIO JOGHURT NATURE 180G",2018,"2018-10-15","2018-10-21",10,42,6655,"BIO / ALNATURA","KLASSISCHE JOGHURT",0,0,0,0,0
"147","BIO JOGHURT NATURE 180G",2018,"2018-10-22","2018-10-28",10,43,6533,"BIO / ALNATURA","KLASSISCHE JOGHURT",1,0,0,0,0
