"article_name","year","yrwk_start","yrwk_end","month","week","sales","category_1","category_2","promo_01","promo_02","promo_03","promo_04","promo_05"
"1","M-CLAS JOG. APF/MANG 200G",2016,"2016-01-04","2016-01-10",1,1,10274,"KLASSISCHE JOGHURT","JOGHURT STANDARD",0,0,0,0,0
"2","M-CLAS JOG. APF/MANG 200G",2016,"2016-01-11","2016-01-17",1,2,10169,"KLASSISCHE JOGHURT","JOGHURT STANDARD",0,0,0,0,0
"3","M-CLAS JOG. APF/MANG 200G",2016,"2016-01-18","2016-01-24",1,3,10182,"KLASSISCHE JOGHURT","JOGHURT STANDARD",0,0,0,0,0
"4","M-CLAS JOG. APF/MANG 200G",2016,"2016-01-25","2016-01-31",1,4,7918,"KLASSISCHE JOGHURT","JOGHURT STANDARD",0,0,0,0,0
"5","M-CLAS JOG. APF/MANG 200G",2016,"2016-02-01","2016-02-07",2,5,9147,"KLASSISCHE JOGHURT","JOGHURT STANDARD",0,0,0,0,0
"6","M-CLAS JOG. APF/MANG 200G",2016,"2016-02-08","2016-02-14",2,6,9953,"KLASSISCHE JOGHURT","JOGHURT STANDARD",0,0,0,0,0
"7","M-CLAS JOG. APF/MANG 200G",2016,"2016-02-15","2016-02-21",2,7,9983,"KLASSISCHE JOGHURT","JOGHURT STANDARD",0,0,0,0,0
"8","M-CLAS JOG. APF/MANG 200G",2016,"2016-02-22","2016-02-28",2,8,8563,"KLASSISCHE JOGHURT","JOGHURT STANDARD",1,0,0,0,0
"9","M-CLAS JOG. APF/MANG 200G",2016,"2016-02-29","2016-03-06",3,9,9628,"KLASSISCHE JOGHURT","JOGHURT STANDARD",0,0,0,0,0
"10","M-CLAS JOG. APF/MANG 200G",2016,"2016-03-07","2016-03-13",3,10,10295,"KLASSISCHE JOGHURT","JOGHURT STANDARD",0,0,0,0,0
"11","M-CLAS JOG. APF/MANG 200G",2016,"2016-03-14","2016-03-20",3,11,10607,"KLASSISCHE JOGHURT","JOGHURT STANDARD",0,0,0,0,0
"12","M-CLAS JOG. APF/MANG 200G",2016,"2016-03-21","2016-03-27",3,12,8545,"KLASSISCHE JOGHURT","JOGHURT STANDARD",0,0,0,0,0
"13","M-CLAS JOG. APF/MANG 200G",2016,"2016-03-28","2016-04-03",3,13,8660,"KLASSISCHE JOGHURT","JOGHURT STANDARD",0,0,0,0,0
"14","M-CLAS JOG. APF/MANG 200G",2016,"2016-04-04","2016-04-10",4,14,10721,"KLASSISCHE JOGHURT","JOGHURT STANDARD",0,0,0,0,0
"15","M-CLAS JOG. APF/MANG 200G",2016,"2016-04-11","2016-04-17",4,15,10433,"KLASSISCHE JOGHURT","JOGHURT STANDARD",0,0,0,0,0
"16","M-CLAS JOG. APF/MANG 200G",2016,"2016-04-18","2016-04-24",4,16,8642,"KLASSISCHE JOGHURT","JOGHURT STANDARD",0,0,0,0,0
"17","M-CLAS JOG. APF/MANG 200G",2016,"2016-04-25","2016-05-01",4,17,9310,"KLASSISCHE JOGHURT","JOGHURT STANDARD",1,0,1,0,0
"18","M-CLAS JOG. APF/MANG 200G",2016,"2016-05-02","2016-05-08",5,18,9740,"KLASSISCHE JOGHURT","JOGHURT STANDARD",0,0,0,0,0
"19","M-CLAS JOG. APF/MANG 200G",2016,"2016-05-09","2016-05-15",5,19,11725,"KLASSISCHE JOGHURT","JOGHURT STANDARD",0,0,0,0,0
"20","M-CLAS JOG. APF/MANG 200G",2016,"2016-05-16","2016-05-22",5,20,9880,"KLASSISCHE JOGHURT","JOGHURT STANDARD",0,0,0,0,0
"21","M-CLAS JOG. APF/MANG 200G",2016,"2016-05-23","2016-05-29",5,21,10226,"KLASSISCHE JOGHURT","JOGHURT STANDARD",0,0,0,0,0
"22","M-CLAS JOG. APF/MANG 200G",2016,"2016-05-30","2016-06-05",6,22,10797,"KLASSISCHE JOGHURT","JOGHURT STANDARD",0,0,0,0,0
"23","M-CLAS JOG. APF/MANG 200G",2016,"2016-06-06","2016-06-12",6,23,10201,"KLASSISCHE JOGHURT","JOGHURT STANDARD",0,0,0,0,0
"24","M-CLAS JOG. APF/MANG 200G",2016,"2016-06-13","2016-06-19",6,24,10538,"KLASSISCHE JOGHURT","JOGHURT STANDARD",0,0,1,0,0
"25","M-CLAS JOG. APF/MANG 200G",2016,"2016-06-20","2016-06-26",6,25,10230,"KLASSISCHE JOGHURT","JOGHURT STANDARD",0,0,0,0,0
"26","M-CLAS JOG. APF/MANG 200G",2016,"2016-06-27","2016-07-03",6,26,10008,"KLASSISCHE JOGHURT","JOGHURT STANDARD",0,0,0,0,0
"27","M-CLAS JOG. APF/MANG 200G",2016,"2016-07-04","2016-07-10",7,27,9209,"KLASSISCHE JOGHURT","JOGHURT STANDARD",0,0,0,0,0
"28","M-CLAS JOG. APF/MANG 200G",2016,"2016-07-11","2016-07-17",7,28,6593,"KLASSISCHE JOGHURT","JOGHURT STANDARD",0,0,0,0,0
"29","M-CLAS JOG. APF/MANG 200G",2016,"2016-07-18","2016-07-24",7,29,7608,"KLASSISCHE JOGHURT","JOGHURT STANDARD",0,0,0,0,0
"30","M-CLAS JOG. APF/MANG 200G",2016,"2016-07-25","2016-07-31",7,30,8899,"KLASSISCHE JOGHURT","JOGHURT STANDARD",0,0,0,0,0
"31","M-CLAS JOG. APF/MANG 200G",2016,"2016-08-01","2016-08-07",8,31,8746,"KLASSISCHE JOGHURT","JOGHURT STANDARD",0,0,0,0,0
"32","M-CLAS JOG. APF/MANG 200G",2016,"2016-08-08","2016-08-14",8,32,9674,"KLASSISCHE JOGHURT","JOGHURT STANDARD",0,0,0,0,0
"33","M-CLAS JOG. APF/MANG 200G",2016,"2016-08-15","2016-08-21",8,33,9864,"KLASSISCHE JOGHURT","JOGHURT STANDARD",0,0,0,0,0
"34","M-CLAS JOG. APF/MANG 200G",2016,"2016-08-22","2016-08-28",8,34,7666,"KLASSISCHE JOGHURT","JOGHURT STANDARD",1,0,0,0,0
"35","M-CLAS JOG. APF/MANG 200G",2016,"2016-08-29","2016-09-04",9,35,9269,"KLASSISCHE JOGHURT","JOGHURT STANDARD",1,0,0,0,0
"36","M-CLAS JOG. APF/MANG 200G",2016,"2016-09-05","2016-09-11",9,36,10011,"KLASSISCHE JOGHURT","JOGHURT STANDARD",0,0,0,0,0
"37","M-CLAS JOG. APF/MANG 200G",2016,"2016-09-12","2016-09-18",9,37,10143,"KLASSISCHE JOGHURT","JOGHURT STANDARD",0,0,0,0,0
"38","M-CLAS JOG. APF/MANG 200G",2016,"2016-09-19","2016-09-25",9,38,9734,"KLASSISCHE JOGHURT","JOGHURT STANDARD",0,0,0,0,0
"39","M-CLAS JOG. APF/MANG 200G",2016,"2016-09-26","2016-10-02",9,39,10067,"KLASSISCHE JOGHURT","JOGHURT STANDARD",0,0,0,0,0
"40","M-CLAS JOG. APF/MANG 200G",2016,"2016-10-03","2016-10-09",10,40,9105,"KLASSISCHE JOGHURT","JOGHURT STANDARD",0,0,0,0,0
"41","M-CLAS JOG. APF/MANG 200G",2016,"2016-10-10","2016-10-16",10,41,9059,"KLASSISCHE JOGHURT","JOGHURT STANDARD",0,0,0,0,0
"42","M-CLAS JOG. APF/MANG 200G",2016,"2016-10-17","2016-10-23",10,42,9525,"KLASSISCHE JOGHURT","JOGHURT STANDARD",1,0,1,0,0
"43","M-CLAS JOG. APF/MANG 200G",2016,"2016-10-24","2016-10-30",10,43,7666,"KLASSISCHE JOGHURT","JOGHURT STANDARD",1,0,0,0,0
"44","M-CLAS JOG. APF/MANG 200G",2016,"2016-10-31","2016-11-06",11,44,8547,"KLASSISCHE JOGHURT","JOGHURT STANDARD",1,0,0,0,0
"45","M-CLAS JOG. APF/MANG 200G",2016,"2016-11-07","2016-11-13",11,45,9853,"KLASSISCHE JOGHURT","JOGHURT STANDARD",0,0,0,0,0
"46","M-CLAS JOG. APF/MANG 200G",2016,"2016-11-14","2016-11-20",11,46,9823,"KLASSISCHE JOGHURT","JOGHURT STANDARD",1,0,0,0,0
"47","M-CLAS JOG. APF/MANG 200G",2016,"2016-11-21","2016-11-27",11,47,9677,"KLASSISCHE JOGHURT","JOGHURT STANDARD",1,0,1,0,0
