"article_name","year","yrwk_start","yrwk_end","month","week","sales","category_1","category_2","promo_01","promo_02","promo_03","promo_04","promo_05"
"1","M-CLAS JOG. HEIDELBE 200G",2016,"2016-01-04","2016-01-10",1,1,10534,"KLASSISCHE JOGHURT","JOGHURT STANDARD",0,0,0,0,0
"2","M-CLAS JOG. HEIDELBE 200G",2016,"2016-01-11","2016-01-17",1,2,10057,"KLASSISCHE JOGHURT","JOGHURT STANDARD",0,0,0,0,0
"3","M-CLAS JOG. HEIDELBE 200G",2016,"2016-01-18","2016-01-24",1,3,9921,"KLASSISCHE JOGHURT","JOGHURT STANDARD",0,0,0,0,0
"4","M-CLAS JOG. HEIDELBE 200G",2016,"2016-01-25","2016-01-31",1,4,7730,"KLASSISCHE JOGHURT","JOGHURT STANDARD",0,0,0,0,0
"5","M-CLAS JOG. HEIDELBE 200G",2016,"2016-02-01","2016-02-07",2,5,8982,"KLASSISCHE JOGHURT","JOGHURT STANDARD",0,0,0,0,0
"6","M-CLAS JOG. HEIDELBE 200G",2016,"2016-02-08","2016-02-14",2,6,9785,"KLASSISCHE JOGHURT","JOGHURT STANDARD",0,0,0,0,0
"7","M-CLAS JOG. HEIDELBE 200G",2016,"2016-02-15","2016-02-21",2,7,9930,"KLASSISCHE JOGHURT","JOGHURT STANDARD",0,0,0,0,0
"8","M-CLAS JOG. HEIDELBE 200G",2016,"2016-02-22","2016-02-28",2,8,8550,"KLASSISCHE JOGHURT","JOGHURT STANDARD",1,0,0,0,0
"9","M-CLAS JOG. HEIDELBE 200G",2016,"2016-02-29","2016-03-06",3,9,9531,"KLASSISCHE JOGHURT","JOGHURT STANDARD",0,0,0,0,0
"10","M-CLAS JOG. HEIDELBE 200G",2016,"2016-03-07","2016-03-13",3,10,10012,"KLASSISCHE JOGHURT","JOGHURT STANDARD",0,0,0,0,0
"11","M-CLAS JOG. HEIDELBE 200G",2016,"2016-03-14","2016-03-20",3,11,10495,"KLASSISCHE JOGHURT","JOGHURT STANDARD",0,0,0,0,0
"12","M-CLAS JOG. HEIDELBE 200G",2016,"2016-03-21","2016-03-27",3,12,8307,"KLASSISCHE JOGHURT","JOGHURT STANDARD",0,0,0,0,0
"13","M-CLAS JOG. HEIDELBE 200G",2016,"2016-03-28","2016-04-03",3,13,8297,"KLASSISCHE JOGHURT","JOGHURT STANDARD",0,0,0,0,0
"14","M-CLAS JOG. HEIDELBE 200G",2016,"2016-04-04","2016-04-10",4,14,10053,"KLASSISCHE JOGHURT","JOGHURT STANDARD",0,0,0,0,0
"15","M-CLAS JOG. HEIDELBE 200G",2016,"2016-04-11","2016-04-17",4,15,10086,"KLASSISCHE JOGHURT","JOGHURT STANDARD",0,0,0,0,0
"16","M-CLAS JOG. HEIDELBE 200G",2016,"2016-04-18","2016-04-24",4,16,8275,"KLASSISCHE JOGHURT","JOGHURT STANDARD",0,0,0,0,0
