"article_name","year","yrwk_start","yrwk_end","month","week","sales","category_1","category_2","promo_01","promo_02","promo_03","promo_04","promo_05"
"1","EXC JOGHURT TRUFFES 150G",2016,"2016-01-04","2016-01-10",1,1,4936,"JOGHURT SPECIAL / GENUSS","RAHMJOGHURT / GRIECHISCH",0,0,0,0,0
"2","EXC JOGHURT TRUFFES 150G",2016,"2016-01-11","2016-01-17",1,2,4597,"JOGHURT SPECIAL / GENUSS","RAHMJOGHURT / GRIECHISCH",0,0,0,0,0
"3","EXC JOGHURT TRUFFES 150G",2016,"2016-01-18","2016-01-24",1,3,4536,"JOGHURT SPECIAL / GENUSS","RAHMJOGHURT / GRIECHISCH",0,0,0,0,0
"4","EXC JOGHURT TRUFFES 150G",2016,"2016-01-25","2016-01-31",1,4,4336,"JOGHURT SPECIAL / GENUSS","RAHMJOGHURT / GRIECHISCH",0,0,0,0,0
"5","EXC JOGHURT TRUFFES 150G",2016,"2016-02-01","2016-02-07",2,5,4245,"JOGHURT SPECIAL / GENUSS","RAHMJOGHURT / GRIECHISCH",0,0,0,0,0
"6","EXC JOGHURT TRUFFES 150G",2016,"2016-02-08","2016-02-14",2,6,11627,"JOGHURT SPECIAL / GENUSS","RAHMJOGHURT / GRIECHISCH",1,0,0,0,0
"7","EXC JOGHURT TRUFFES 150G",2016,"2016-02-15","2016-02-21",2,7,4898,"JOGHURT SPECIAL / GENUSS","RAHMJOGHURT / GRIECHISCH",0,0,0,0,0
"8","EXC JOGHURT TRUFFES 150G",2016,"2016-02-22","2016-02-28",2,8,4777,"JOGHURT SPECIAL / GENUSS","RAHMJOGHURT / GRIECHISCH",1,0,0,0,0
"9","EXC JOGHURT TRUFFES 150G",2016,"2016-02-29","2016-03-06",3,9,4896,"JOGHURT SPECIAL / GENUSS","RAHMJOGHURT / GRIECHISCH",0,0,0,0,0
"10","EXC JOGHURT TRUFFES 150G",2016,"2016-03-07","2016-03-13",3,10,4865,"JOGHURT SPECIAL / GENUSS","RAHMJOGHURT / GRIECHISCH",0,0,0,0,0
"11","EXC JOGHURT TRUFFES 150G",2016,"2016-03-14","2016-03-20",3,11,4568,"JOGHURT SPECIAL / GENUSS","RAHMJOGHURT / GRIECHISCH",0,0,0,0,0
"12","EXC JOGHURT TRUFFES 150G",2016,"2016-03-21","2016-03-27",3,12,4765,"JOGHURT SPECIAL / GENUSS","RAHMJOGHURT / GRIECHISCH",0,0,0,0,0
"13","EXC JOGHURT TRUFFES 150G",2016,"2016-03-28","2016-04-03",3,13,8321,"JOGHURT SPECIAL / GENUSS","RAHMJOGHURT / GRIECHISCH",1,0,0,0,0
"14","EXC JOGHURT TRUFFES 150G",2016,"2016-04-04","2016-04-10",4,14,4732,"JOGHURT SPECIAL / GENUSS","RAHMJOGHURT / GRIECHISCH",0,0,0,0,0
"15","EXC JOGHURT TRUFFES 150G",2016,"2016-04-11","2016-04-17",4,15,4608,"JOGHURT SPECIAL / GENUSS","RAHMJOGHURT / GRIECHISCH",0,0,0,0,0
"16","EXC JOGHURT TRUFFES 150G",2016,"2016-04-18","2016-04-24",4,16,4398,"JOGHURT SPECIAL / GENUSS","RAHMJOGHURT / GRIECHISCH",0,0,0,0,0
"17","EXC JOGHURT TRUFFES 150G",2016,"2016-04-25","2016-05-01",4,17,4464,"JOGHURT SPECIAL / GENUSS","RAHMJOGHURT / GRIECHISCH",1,0,1,0,0
"18","EXC JOGHURT TRUFFES 150G",2016,"2016-05-02","2016-05-08",5,18,4421,"JOGHURT SPECIAL / GENUSS","RAHMJOGHURT / GRIECHISCH",0,0,0,0,0
"19","EXC JOGHURT TRUFFES 150G",2016,"2016-05-09","2016-05-15",5,19,5009,"JOGHURT SPECIAL / GENUSS","RAHMJOGHURT / GRIECHISCH",0,0,0,0,0
"20","EXC JOGHURT TRUFFES 150G",2016,"2016-05-16","2016-05-22",5,20,4050,"JOGHURT SPECIAL / GENUSS","RAHMJOGHURT / GRIECHISCH",0,0,0,0,0
"21","EXC JOGHURT TRUFFES 150G",2016,"2016-05-23","2016-05-29",5,21,4372,"JOGHURT SPECIAL / GENUSS","RAHMJOGHURT / GRIECHISCH",0,0,0,0,0
"22","EXC JOGHURT TRUFFES 150G",2016,"2016-05-30","2016-06-05",6,22,4573,"JOGHURT SPECIAL / GENUSS","RAHMJOGHURT / GRIECHISCH",0,0,0,0,0
"23","EXC JOGHURT TRUFFES 150G",2016,"2016-06-06","2016-06-12",6,23,8959,"JOGHURT SPECIAL / GENUSS","RAHMJOGHURT / GRIECHISCH",1,0,0,0,0
"24","EXC JOGHURT TRUFFES 150G",2016,"2016-06-13","2016-06-19",6,24,5109,"JOGHURT SPECIAL / GENUSS","RAHMJOGHURT / GRIECHISCH",1,0,1,0,0
"25","EXC JOGHURT TRUFFES 150G",2016,"2016-06-20","2016-06-26",6,25,3759,"JOGHURT SPECIAL / GENUSS","RAHMJOGHURT / GRIECHISCH",0,0,0,0,0
"26","EXC JOGHURT TRUFFES 150G",2016,"2016-06-27","2016-07-03",6,26,3629,"JOGHURT SPECIAL / GENUSS","RAHMJOGHURT / GRIECHISCH",0,0,0,0,0
"27","EXC JOGHURT TRUFFES 150G",2016,"2016-07-04","2016-07-10",7,27,3662,"JOGHURT SPECIAL / GENUSS","RAHMJOGHURT / GRIECHISCH",0,0,0,0,0
"28","EXC JOGHURT TRUFFES 150G",2016,"2016-07-11","2016-07-17",7,28,3502,"JOGHURT SPECIAL / GENUSS","RAHMJOGHURT / GRIECHISCH",0,0,0,0,0
"29","EXC JOGHURT TRUFFES 150G",2016,"2016-07-18","2016-07-24",7,29,5101,"JOGHURT SPECIAL / GENUSS","RAHMJOGHURT / GRIECHISCH",1,0,0,0,0
"30","EXC JOGHURT TRUFFES 150G",2016,"2016-07-25","2016-07-31",7,30,3493,"JOGHURT SPECIAL / GENUSS","RAHMJOGHURT / GRIECHISCH",0,0,0,0,0
"31","EXC JOGHURT TRUFFES 150G",2016,"2016-08-01","2016-08-07",8,31,3512,"JOGHURT SPECIAL / GENUSS","RAHMJOGHURT / GRIECHISCH",0,0,0,0,0
"32","EXC JOGHURT TRUFFES 150G",2016,"2016-08-08","2016-08-14",8,32,8816,"JOGHURT SPECIAL / GENUSS","RAHMJOGHURT / GRIECHISCH",1,0,0,0,0
"33","EXC JOGHURT TRUFFES 150G",2016,"2016-08-15","2016-08-21",8,33,4237,"JOGHURT SPECIAL / GENUSS","RAHMJOGHURT / GRIECHISCH",0,0,0,0,0
"34","EXC JOGHURT TRUFFES 150G",2016,"2016-08-22","2016-08-28",8,34,3924,"JOGHURT SPECIAL / GENUSS","RAHMJOGHURT / GRIECHISCH",1,0,0,0,0
"35","EXC JOGHURT TRUFFES 150G",2016,"2016-08-29","2016-09-04",9,35,4493,"JOGHURT SPECIAL / GENUSS","RAHMJOGHURT / GRIECHISCH",1,0,0,0,0
"36","EXC JOGHURT TRUFFES 150G",2016,"2016-09-05","2016-09-11",9,36,4244,"JOGHURT SPECIAL / GENUSS","RAHMJOGHURT / GRIECHISCH",0,0,0,0,0
"37","EXC JOGHURT TRUFFES 150G",2016,"2016-09-12","2016-09-18",9,37,4490,"JOGHURT SPECIAL / GENUSS","RAHMJOGHURT / GRIECHISCH",0,0,0,0,0
"38","EXC JOGHURT TRUFFES 150G",2016,"2016-09-19","2016-09-25",9,38,9252,"JOGHURT SPECIAL / GENUSS","RAHMJOGHURT / GRIECHISCH",1,0,0,0,0
"39","EXC JOGHURT TRUFFES 150G",2016,"2016-09-26","2016-10-02",9,39,4798,"JOGHURT SPECIAL / GENUSS","RAHMJOGHURT / GRIECHISCH",0,0,0,0,0
"40","EXC JOGHURT TRUFFES 150G",2016,"2016-10-03","2016-10-09",10,40,4344,"JOGHURT SPECIAL / GENUSS","RAHMJOGHURT / GRIECHISCH",0,0,0,0,0
"41","EXC JOGHURT TRUFFES 150G",2016,"2016-10-10","2016-10-16",10,41,4273,"JOGHURT SPECIAL / GENUSS","RAHMJOGHURT / GRIECHISCH",0,0,0,0,0
"42","EXC JOGHURT TRUFFES 150G",2016,"2016-10-17","2016-10-23",10,42,4630,"JOGHURT SPECIAL / GENUSS","RAHMJOGHURT / GRIECHISCH",1,0,1,0,0
"43","EXC JOGHURT TRUFFES 150G",2016,"2016-10-24","2016-10-30",10,43,4549,"JOGHURT SPECIAL / GENUSS","RAHMJOGHURT / GRIECHISCH",1,0,0,0,0
"44","EXC JOGHURT TRUFFES 150G",2016,"2016-10-31","2016-11-06",11,44,4708,"JOGHURT SPECIAL / GENUSS","RAHMJOGHURT / GRIECHISCH",1,0,0,0,0
