"article_name","year","yrwk_start","yrwk_end","month","week","sales","category_1","category_2","promo_01","promo_02","promo_03","promo_04","promo_05"
"1","YOGOS GRECQUE NATURE 180G",2016,"2016-01-04","2016-01-10",1,1,5056,"JOGHURT SPECIAL / GENUSS","RAHMJOGHURT / GRIECHISCH",0,0,0,0,0
"2","YOGOS GRECQUE NATURE 180G",2016,"2016-01-11","2016-01-17",1,2,4724,"JOGHURT SPECIAL / GENUSS","RAHMJOGHURT / GRIECHISCH",0,0,0,0,0
"3","YOGOS GRECQUE NATURE 180G",2016,"2016-01-18","2016-01-24",1,3,6874,"JOGHURT SPECIAL / GENUSS","RAHMJOGHURT / GRIECHISCH",1,0,0,0,0
"4","YOGOS GRECQUE NATURE 180G",2016,"2016-01-25","2016-01-31",1,4,5139,"JOGHURT SPECIAL / GENUSS","RAHMJOGHURT / GRIECHISCH",0,0,0,0,0
"5","YOGOS GRECQUE NATURE 180G",2016,"2016-02-01","2016-02-07",2,5,4799,"JOGHURT SPECIAL / GENUSS","RAHMJOGHURT / GRIECHISCH",0,0,0,0,0
"6","YOGOS GRECQUE NATURE 180G",2016,"2016-02-08","2016-02-14",2,6,5058,"JOGHURT SPECIAL / GENUSS","RAHMJOGHURT / GRIECHISCH",0,0,0,0,0
"7","YOGOS GRECQUE NATURE 180G",2016,"2016-02-15","2016-02-21",2,7,4854,"JOGHURT SPECIAL / GENUSS","RAHMJOGHURT / GRIECHISCH",0,0,0,0,0
"8","YOGOS GRECQUE NATURE 180G",2016,"2016-02-22","2016-02-28",2,8,5389,"JOGHURT SPECIAL / GENUSS","RAHMJOGHURT / GRIECHISCH",1,0,0,0,0
"9","YOGOS GRECQUE NATURE 180G",2016,"2016-02-29","2016-03-06",3,9,5508,"JOGHURT SPECIAL / GENUSS","RAHMJOGHURT / GRIECHISCH",0,0,0,0,0
"10","YOGOS GRECQUE NATURE 180G",2016,"2016-03-07","2016-03-13",3,10,5187,"JOGHURT SPECIAL / GENUSS","RAHMJOGHURT / GRIECHISCH",0,0,0,0,0
"11","YOGOS GRECQUE NATURE 180G",2016,"2016-03-14","2016-03-20",3,11,5396,"JOGHURT SPECIAL / GENUSS","RAHMJOGHURT / GRIECHISCH",0,0,0,0,0
"12","YOGOS GRECQUE NATURE 180G",2016,"2016-03-21","2016-03-27",3,12,5760,"JOGHURT SPECIAL / GENUSS","RAHMJOGHURT / GRIECHISCH",0,0,0,0,0
"13","YOGOS GRECQUE NATURE 180G",2016,"2016-03-28","2016-04-03",3,13,4868,"JOGHURT SPECIAL / GENUSS","RAHMJOGHURT / GRIECHISCH",0,0,0,0,0
"14","YOGOS GRECQUE NATURE 180G",2016,"2016-04-04","2016-04-10",4,14,6113,"JOGHURT SPECIAL / GENUSS","RAHMJOGHURT / GRIECHISCH",0,0,0,0,0
"15","YOGOS GRECQUE NATURE 180G",2016,"2016-04-11","2016-04-17",4,15,5920,"JOGHURT SPECIAL / GENUSS","RAHMJOGHURT / GRIECHISCH",0,0,0,0,0
"16","YOGOS GRECQUE NATURE 180G",2016,"2016-04-18","2016-04-24",4,16,6035,"JOGHURT SPECIAL / GENUSS","RAHMJOGHURT / GRIECHISCH",0,0,0,0,0
"17","YOGOS GRECQUE NATURE 180G",2016,"2016-04-25","2016-05-01",4,17,5786,"JOGHURT SPECIAL / GENUSS","RAHMJOGHURT / GRIECHISCH",1,0,1,0,0
"18","YOGOS GRECQUE NATURE 180G",2016,"2016-05-02","2016-05-08",5,18,5838,"JOGHURT SPECIAL / GENUSS","RAHMJOGHURT / GRIECHISCH",0,0,0,0,0
"19","YOGOS GRECQUE NATURE 180G",2016,"2016-05-09","2016-05-15",5,19,6757,"JOGHURT SPECIAL / GENUSS","RAHMJOGHURT / GRIECHISCH",0,0,0,0,0
"20","YOGOS GRECQUE NATURE 180G",2016,"2016-05-16","2016-05-22",5,20,5699,"JOGHURT SPECIAL / GENUSS","RAHMJOGHURT / GRIECHISCH",0,0,0,0,0
"21","YOGOS GRECQUE NATURE 180G",2016,"2016-05-23","2016-05-29",5,21,6317,"JOGHURT SPECIAL / GENUSS","RAHMJOGHURT / GRIECHISCH",0,0,0,0,0
"22","YOGOS GRECQUE NATURE 180G",2016,"2016-05-30","2016-06-05",6,22,6650,"JOGHURT SPECIAL / GENUSS","RAHMJOGHURT / GRIECHISCH",0,0,0,0,0
"23","YOGOS GRECQUE NATURE 180G",2016,"2016-06-06","2016-06-12",6,23,6279,"JOGHURT SPECIAL / GENUSS","RAHMJOGHURT / GRIECHISCH",0,0,0,0,0
"24","YOGOS GRECQUE NATURE 180G",2016,"2016-06-13","2016-06-19",6,24,6466,"JOGHURT SPECIAL / GENUSS","RAHMJOGHURT / GRIECHISCH",0,0,1,0,0
"25","YOGOS GRECQUE NATURE 180G",2016,"2016-06-20","2016-06-26",6,25,6517,"JOGHURT SPECIAL / GENUSS","RAHMJOGHURT / GRIECHISCH",0,0,0,0,0
"26","YOGOS GRECQUE NATURE 180G",2016,"2016-06-27","2016-07-03",6,26,6806,"JOGHURT SPECIAL / GENUSS","RAHMJOGHURT / GRIECHISCH",0,0,0,0,0
"27","YOGOS GRECQUE NATURE 180G",2016,"2016-07-04","2016-07-10",7,27,6668,"JOGHURT SPECIAL / GENUSS","RAHMJOGHURT / GRIECHISCH",0,0,0,0,0
"28","YOGOS GRECQUE NATURE 180G",2016,"2016-07-11","2016-07-17",7,28,6079,"JOGHURT SPECIAL / GENUSS","RAHMJOGHURT / GRIECHISCH",0,0,0,0,0
"29","YOGOS GRECQUE NATURE 180G",2016,"2016-07-18","2016-07-24",7,29,6635,"JOGHURT SPECIAL / GENUSS","RAHMJOGHURT / GRIECHISCH",0,0,0,0,0
